Content,Content_Length,product_related
"I'm going to let Mike follow up with this also, Eric. But we have, certainly we had some information out there and we put together a fairly large and contiguous acreage position out there. And there has been some recent area activity that has been encouraging. And I will let Mike pick up from there.",55,No
"The comm business is a -- in the last few quarters, we are flat or slightly down. And so they have a refresh, okay. And we gained some market shares. And -- but there's a significant portion of it. We see the 5G network start to ramp. And those product, we designed it back in -- a couple years ago.",60,Yes
"Yes. Again, I think if you look at the results, clearly, what we saw in computing and storage, automotive and industrial, those weren't onetime drivers. This is all about the secular expansion that we've been discussing now for several years, and we're now seeing the results come in full term. And so I don't see anything in my -- in the outlook that would indicate a diminution of those growth rates. And then as far as how we manage the margin with the consumer, that's something that we're adept at being able to do. So I think that as we look at Q4, we feel very confident not just in the number in total, but also the individual markets as far as they're going to source that growth.",128,Yes
"The high inventory -- again, it's my favorite now, okay. High inventory, in a company like MPS, we have to build a reputation. With regard to traditional, we'll achieve it and we will ship our products. And where we're the newcomers, we have to have a record of reliability as well as a continuation of our delivery. We'll never have that kind of problems. Any one glitch that cause a lot more problems, much bigger market cap hit, then a few million dollars and a few days of inventory.",89,Yes
"Yes. I hate to say that in the last couple of times that we talked about gaming, our customers not happy, okay. We can't do that. And the one time I said that it wasn't my favorite topic, okay, our customer heard that. Okay, so gaming is my favorite. There's a lot of money to be made with 100% of the components, okay. But here is what have we got, and again, we see high volumes. And we're not talking about what kind of gaming, okay, we see a bit of softness. And these are high-volume ones. And other than that, we see connected device or the IoT, if you will, okay, and a variety of other gauges. And we see -- in our designing, we see the market demand is still very similar.",134,Yes
"So we're basically prepared to be able to service the targeted markets. And we believe that, as you look to the first half of '19, that they are less impacted by the price sensitivities that might be -- occur as a result of the tariffs or geopolitical trade policies. And then as Michael just said, that on the areas that are more affected, we have the ability to course correct, and as we demonstrated in Q3, even within the quarter, to be able to achieve our revenue goals.",88,Yes
"I think talking about McDermott, and again, I don't want to elaborate too much in the -- on this possible combination. What we are talking about -- what we would be talking about, if it was to materialize, would be the -- only the McDermott business, not the CB&amp;I acquisition. If it was to happen, that would not allow us to go ahead. Regarding the backlog, I think one of the things I'm very confident with, is that during the downturn, we've kept our prudent approach, and maintaining the right risk on it is a job. We haven't changed our philosophy, and we evaluate this risk of sullen weather on a project by project basis in a prudent way. I don't see that our risk profile has increased. And I think we can take the last question.",137,No
"Yes, I will take the question on i-Tech. Ricardo will take the question on provision, and John will answer on Beatrice. Regarding the i-Tech Services, I mean, we are seeing additional volume of activity, but there is pressure on margins which have been there for a while. But more activity, but still pressure on margins. Just as a reminder, we have announced the intention to create the joint venture with OneSubsea Schlumberger, which is going to bring i-Tech Services and the IRM on both sides, the OneSubsea and our side, to the next level, driven by technology and the model stuff. So the i-Tech business is challenging today. It's one of the business line of Subsea 7 which, for me, is quite promising on the medium to long term through the joint venture with Schlumberger. So I see future there. Regarding the...",142,Yes
"Michael, I'll pass on the first question for you. With regards -- I mean, we are, as you know, as I've indicated we are in a strong net cash position at the moment. But I guess , the way we look at it is that we have a certain amount of cash that we need for operating our business, you'll see our working capital if you will, and a portion as well which we allocate for strategic opportunity. As I indicated earlier, our main priority is reinvesting in the business for growth. I do want to clarify, we don't have a credit rating. As such, we have an investment-grade profile, and that investment-grade profile would allow us should be want to raise additional debt, whilst it's not in any way undermining it. I'm not implying by that, that is -- I'm not implying by that, that we intend to raise the debt in short term for the purposes of returning the cash to shareholders. As i indicated earlier, it is the -- it's one of our 3 top priorities, but it's just third, and we don't have any plans to change that approach.",193,No
"I didn't answer one point, which was the cost savings. I think, we, today, are at a point where we have reduced the size of our organization to size it to the full swing operation. We kept the expertise, and that's absolutely key for me. The future cost saving will be through even further optimization in the way we work to lower the cost of the project, and that will have an impact on the bottom line. Efficiency and different -- we're working, in particular, in partnership with some of our clients will trigger cost saving in the way we do a project and therefore have impact on the bottom line. That's where I see it.",116,No
"I mean, the way we look at this combination is how to improve our business and be more efficient. I mean, there is -- we are not doing that to taking competitors after the market. We are building something, which is more efficient and, therefore, bring additional advantage. I think we need to move to the next question.",58,Yes
"Yes, right. Yes, we had a number of people that were working -- the Germans and the U.K. were working together. So they were working in the security area, which we basically with the sale, we lost the engineers and a lot of them were salespeople and support people. So we let a number of them go. And then we realigned sort of the support staff in the U.K. so that we can service our existing customer base, but cut back the number of people. So that's what the severance costs were for.",93,Yes
"Well, we've got -- yes, there's some spare parts and there was a few royalty boards not a plane or anything like that, Brett. It was very small. And we don't have really much in the second quarter, and it really looks like we'll have some stuff in the third and fourth quarter. But as Victor noted, we haven't really gotten in that much information out of Lockheed as to what the delivery schedule will be.",76,Yes
"Well, first of all, the inventory, a lot of it is -- a big portion of that is timing for orders. So within the TS group. So a lot of it's drop ship, so things shift. So under the revenue recognition rules, a lot of times we don't get to do it and we don't get notice, so that's a big chunk of it. And the receivables, probably, I mean, as far as there's good flow on the cash, it's just on the business side what happens. So as we get more growth, we hopefully will have bigger numbers in there in the short term.",105,Yes
"Well, see a lot of the pipeline that we're looking at right now with larger organizations, multi-billion organizations where we're -- our managed wireless practice, as I mentioned in the past, has been doing really, really well. And that's one of the areas that a lot of companies -- sometimes when you look at managed services, they may not be as interested as taking over their full infrastructure, but a lot of companies and multi-billion dollar companies don't want to manage wireless, so that's something that we're talking to a lot of large organizations, whether financial or school systems that we're looking at taking their wireless infrastructure over as a managed service recurring revenue model. So that's where that comment comes from.",122,Yes
"Yes, so Joe, I'd give you a little more color on that. What we've done is we've pushed the suppliers as hard as we could to get these brand new boards with the latest and greatest technology on the chipset. So that chip, which is just being released, is something that we need because we need the power to support all the software we're loading on it. So what we did was we get -- they gave us a few boards that were basically not even tested. We did a lot of the testing for them, and then they had to -- go back and make all the changes. We recently just got the next set of boards in our hands. And from what we can see, everything is looking good. But there's a bunch of all the testing they need to do for them to certify it, so they could do it and send it out to the public. That's GA for them, and that's kind of where we're at right now.",173,Yes
"I don't know. I've said all along -- I mean we're testing different -- different applications will be tested like mobile, like targeted advertising. But as I've said all along, I don't believe -- I believe that by the time it's fully deployed and with the rate with which things are changing, that the winning business model may not even been thought of yet, Kyle. As I've said before, we view it the way our strategy -- head of strategy puts it, we view it sort of like the iPhone; that this new platform will be put out there and other money and developers will come and write some really interesting programs for that application. So, i.e., will the driverless car happen faster -- sooner rather than later and then the entertainment in an automobile moves from audio to video as an example. So I think the answer is we don't know yet.",153,No
"The rate of investments should tail off, Marci. As soon as we got hot on the selling ads side of the business, we saw this data management platform opportunity, so we've invested in the technology or the people to do that but that rate of what I call the back-end expense will slow down. The zero margin of the business is related and a lot to that expense investment. The absolute selling and cost of goods sold is already a profitable business.",82,Yes
"We don't call out individual stations. We've talked about this on the call last time. For the quarter, it was less than double digits. So it's embedded in our base business at this point and we're not calling it out but it's about that kind of ballpark for about 5.5 weeks.",51,No
"Well, it's a test, right? So we're -- our Phoenix station will keep on running our ATSC 1.0. What we're collaborating on together is we're using other people's sticks to test 3.0. And so, the consortium will be all testing, we'll be testing different aspects of the platform, different codes, different applications for different business models, so it is a test. It is not whether or not Phoenix lights up permanently in 3.0 or we do that in other markets first is yet to be determined but it is truly a collective laboratory for the broadcasters.",96,Yes
"No. I don't believe that at all. First of all, when you look at first and second quarters and different years, they are sort of meaningful. If you look at history, they don't really track much with what -- all that revenue comes in the third and fourth and sometimes, a bit in June. No. I think that's absolutely -- in fact, we've seen very detailed breakouts by people in the ecosystem that are controlling those dollars, two very specific agencies. And the amount of dollars spent on TV, we think will be up significantly and I think so the share shift story has been talked about for a long time. Certainly, cable has been picking up share, especially in House races and large markets over the years. Digital has been taking dollars that used to go to direct mail, a lot of it. But the fact of the matter is the pie is going to be so much bigger and by all -- by every inside agency not somebody who has a specific axe to grind in the ecosystem or a bias in the ecosystem but when you talk to the agencies that control those dollars, they'll tell you television is going to be up. And broadcast specifically will be up.",212,No
I want to thank everyone again for joining us on the call this morning. And I look forward I think we're really excited about the opportunity on our next quarterly conference call as well as our Investor Day in May. We will have our entire new leadership team at that Investor Day. We will walk through a lot more detail the strategy and the initiatives we have underway to transform this company to a services business platform. And we look forward to spending the day with everyone in New York in May. Have a great day. Thank you very much.,100,No
"I'm -- actually I have Dan Stone, the President of CompuCom in the room. And I'm going to have Dan answer that. Again, I'll talk about '18 real fast. We're excited that we believe CompuCom is going to be flat, which is a pretty big reversal of the business, but I'll let Dan comment for a few minutes then I'll jump in as well at the end. Go ahead, Dan.",70,No
"This is Joe Lower, why don't I wrap up the call and just providing some perspective on Q1. We do not intend to regularly provide guidance on a quarterly basis. But thought given the guidance coming out this time of the year and where we are in the year, it was helpful to provide some context. So we provided you guidance for the full year in the amount of $10.6 billion. We typically see somewhere between 24% to 20% -- 26% of our total sales actually recognized in Q1. We anticipate this year, Q1 will be at the lower end of that range, as some of the revenue growth initiatives that Gerry discussed, really don't materialize until the second half of the year. And in the operating income, we provided total guidance for the year of $350 million. As a percentage of total, we expect Q1 to be slightly lower as a percent in the 21% to 22% of total range as the investments we are making are generally front-end loaded with the benefits being realized in the second half of the year.
 So hopefully that gives you some sense of how we're looking at Q1 at this time. With that, I'll turn it back over to Gerry for his closing comments.",212,No
"Well, this is Gerry. I think you saw that we're optimistic in 2018, that we're going to be flat on an overall BSD basis. So and we see -- we saw 150 basis point improvement in Q4 to the BSD business. So as we talked about in all the previous earning calls, we're starting to see traction. Every quarter we've improved and we actually think we have line of sight to '18 to have the business flat, which has been the first time in a long, long time that business is in that direction so. And we're optimistic that we've turned the corner and we're past those headwinds on the acquisition and we're moving forward into getting into a -- helping consolidate the market in that space.",127,Yes
"Well, there's some great cross-selling opportunities and we've seen some early wins that's we're all happy about on both sides of the business. We did see a 150 basis point improvement sequentially as I said earlier. And we're basically committing '18 to be flat for the year or so. We're saying that's going to continue improve through the year. And we see that the headwinds from the previous Staples acquisition are behind us. And we're very optimistic that by stabilizing that core, I think it's a huge inflection point for the company that CompuCom is flat, so we have $1.1 billion and sticky stable revenue and a lot of EBITDA around that, as well as the BSD team -- business being stabilized is a huge statement that we've strengthened our core business. And obviously, as we said pretty clearly, we got to continuing to our retail transformation and drive to more services-led store experience over a period of time will stabilize the retail business as well. But I'm very, very pleased that we're looking at a positive trend in BSD and that we're going to have a flat year in 2018.",191,Yes
"Corey, thanks for [attaining] the call. Obviously everything and natural gas is no different, in fact, probably (inaudible) more volatility in North America than most other commodities. It goes up and down and we are at a trough of the cycle right now, so to speak, and that's why we feel that this is the perfect time to do the kind of things we are doing, and i.e. is to acquired assets that maybe other people are not keen on because of the outlook in prices.
 Obviously North American natural gas is a fairly tight supply/demand dynamics in the whole commodity and, therefore, the reduced utilization reported by the drillers are very real in the sense that if there are not enough wells drilled during any period of time to replace declines then you can hopefully look forward to an upcycle in the pricing because of the simple supply and demand equation.",152,Yes
"Definitely you're referring to our 9 5/8 bond that auto-matures in 2010, actually the first call date we just passed it on July 15 of this year. So, we have the flexibility. Now to look at the refinancing, the 9 5/8, (inaudible) I'm sure you're aware of the current situation with the corporate debt market almost worldwide, definitely North American-wide.
 At the moment, I'm not really sure the environment is conducive and positive enough for us to contemplate a refinancing issue, but we will continue to monitor market. There is an opportunity to lower our borrowing cost on a go-forward basis, but we do have to pay 4.8% half coupon as a take out premium on the whole bond.
 So, there is a bit of a economic calculation there as to when would you break even, so to speak, in terms of replacing the old coupon with the new coupon, but we're looking at that and this is definitely dictated by market conditions.",163,No
"Yes, I don't think the (inaudible) plays a huge part in the supply situation for North American gas, but definitely we are quite weather-dependent in terms of the supply/demand equation and we do have weather, whether it is hurricanes in the summer months, or later summer months, I guess, because we're already into August, we're not seeing a lot of that, and we get cold weather sooner than later in the winter months, then I would think that the response of natural gas price would be more accelerated.",88,Yes
"Okay, I guess a quick answer would be no, because obviously we are not obligated to alter the corporate structure until 2011, as you stated. So at the moment we are managing the Baytex entity under the income trust model. Our objective, our mandate is to deliver basically consistent return, minimize dilution to our unit holders and paid out the assigned distributions as you see at the present time, and until we make a decision at the timing in the form of the change, I do believe it is another transaction that will change our metrics. That is the target of our operating model and financial model is to keep where we are on a constant basis until we address the change in the tax law.",126,No
"Yes, we can consider, although I guess as to--as time goes on, the next call date is July 15 of 2008 and our take-out premium is reduced by 50%. So, again, economic decision and you will see that if you wait long enough, so to speak, you might as well wait to the next call date so you don't have to pay as much take-out premium.",66,No
"Well, I see -- anytime you have permitting in question, you slow down the feedstock to the market place. So, that bubble is moving through right now and is tightening the market. The result will be -- there will be some agreement to handle these fields and streams and all of that differently but it will cost more money. The market is going to shift to the lowest cost, especially after the scrubbers are built. So I would say some of the marginal players will go out and that will continue to keep the market tight.",96,Yes
"Definitely. Yeah, we'll -- because diesel is not a big cost to us other than our river transportation. We're doing some hedging on that. But in terms of production of coal, it's basically our source of power is electricity and so I would say we're going to be very stable on our cost structure, assuming the anomaly of Buchanan is out of the way and if you look at the other mines, cost structure is very solid.",77,Yes
"Also, John, just keep in mind that we really emphasize margin as opposed to just cost of revenue. So, in some places, particularly like Central App that has a higher cost structure, if we're maintaining margins or increasing margins, we have no problem with bringing on mines that have -- I'm just throwing out a number that could have costs even at $50 a ton, if we're going to get $60 a ton for the coal. And sometimes just focusing on cost, you may get the wrong impression because you may see some increases in costs. I think the key thing is to look to see at the margins, are the margins increasing.",113,Yes
"I would say we prefer to run that mine if the contract is right. We haven't seen utilities typically take that coal. It had a real advantage based on sulfur and as the scrubbers get built, its advantage gets taken away. So, it is one of the highest costs of the Pittsburgh HC mines and it is always going to be the one on the margin based on geology and I think in a hot market, you're going to see it probably -- it could be extended. But the customers have to step up, otherwise we're going to maximize our low cost position and keep our low cost mines at the highest margins. I guess that's up in the air would be the right -- would be the right response to you right now.",134,Yes
"Well, I would say the export market is a sustainable market. I would say the next three years for sure. Now, the real question in my mind is, is the dollar going to continue to stay weak, will that trigger long-term contracts between CONSOL and Atlantic market for the high BTUs that we have in our properties. If that's the case, I think you'll us actually make capital commitments for expansion to meet that market. But I can tell you the same thing with the domestic market. The only issue here is, John, is the Atlantic market, if the dollar continues to stay weak, they just might trigger long-term contracts meaning three to five year deals for the first time in 20 years. That will really change our market structure.",130,Yes
"Look, our outlook is we have no more crystal ball than anybody else as to whether the economy is flat or down or we're going into recession. Clearly the economy is mixed in the best case scenario.
 So what you'll see us do over the coming quarters is continue to diversify from an industry standpoint. You'll see different types of industries working their way into this portfolio, including healthcare, including energy. And you'll see us continue to invest in companies that we feel will really have really solid capital structures and can perform in almost any scenario.
 But we do not have any more crystal ball than anybody else. We're going to be judicious and prudent. Whether this market correction we are in lasts another three months or six months or a year, again we do not have any more crystal ball than anybody else. We always, though, want to make sure we have got excess capital and liquidity on hand to take advantage of opportunities.",166,No
"Well, again, is all going to be related to on one hand what the return on equity is going to be from people who are borrowing at these rates, and does that ROE go down or go up?
 Also kind on the other end of the spectrum where kind of the high yield and leveraged loan markets are trading as a proxy for liquid credit risk. So the mezzanine asset class kind of trades between those two bands.
 So that is -- look, how long do cycles last? I don't know. We had a bear market for a year or two years last time around, before it started rallying. I do not know if this is going to be a six-month phenomenon or an 18-month phenomenon.",126,Yes
"That is a great question. On the illiquid deals, a typical mezz deal has a noncall period for a while, call it two to maybe three years; some call premiums after that. You're also getting an upfront fee. So you're essentially buying it at 98 or 97.5; noncall [too]; call it 104, 103, 102, 101 after that. So there is a penalty for calling us out, and there is some lockout period.
 Also importantly in those deals there is an equity coinvest option typically. That is where you do get to participate in the upside as things get better, as companies refinance or want to dividend or IPO or sell. As an equity coinvestor we participate in that upside.",119,Yes
"I hate to give intra-quarter guidance, particularly since we keep saying we are not a production shop. You know, we are value. Some quarters will be, some quarters will be lower. So I really hesitate to give you guidance.
 We are making -- we have made investments. We are making investments. You'll see a broadening in the diversification of the portfolio.
 To your first question, about $12 million of the markdown was related to those two credits.",77,No
"Look, I think the quoted market is trading on fears of an economic slowdown, clearly. So that is what is going to drive the quoted piece of the portfolio.
 Now for us, again, we are long-term value investors. If something is trading down, and we still like the credit, and we think it is built to weather a store, and we're getting a nice yield for our shareholders, we will potentially buy more. But it is really kind of the economic uncertainty is what is hanging over the leveraged loan markets.",91,No
"Hi, Francisco. Thank you. Let me start with the minority interest. What we have is -- this item has been increasing because we have more projects with minority partners, like one in the state of Mexico and one in Hermosillo. It's only two out of the 85 projects that we have. It's on a small portion.
 We are not promoting this scheme and we believe that will remain at -- a very small portion of our projects will be on this type of partnerships. In terms of the land bank, as you know, we increased our policy from 2.5 years to three years, and we will continue with this policy of three years of future sales of land bank.
 As we mentioned, we will increase the number of cities, five new cities in the second half of this year, and that will imply us to acquire more land in these new cities. We believe, as we have shown in this quarter, that we are generating free cash flow again and this will be enough to support our land acquisitions in the future.",182,Yes
We believe that some sofoles have been doing a great job on increasing their distribution capabilities. Some banks are doing a great job and some banks are still working on the internal constraints to offer more mortgages to the middle income customers. We believe that we have a lot of opportunities on the middle-income segment due to these improvements on the offering of mortgages to our customers in the future.,70,Yes
"Thanks, Vanessa. We have increased significantly the number of mortgages, processes, through co-financing, mainly with INFONAVIT. Now we are considering the co-financing program as part of our affordable entry-level segment, as you may notice in the press release. The affordable entry-level segment now is up to MXN600,000, and we have increased the number of customers who acquire a Homex home through a co-financing program.
 In terms of the subsidy, we have been working mainly with INFONAVIT to offer this option to our customers. And the main idea is that customers who were eligible only for around a MXN150,000 home, now they can acquire a MXN180,000 home, because of this upfront subsidy that will be available for around 120,000 people or families in Mexico. We believe that we will provide this subsidy with sofoles, with FOVISSSTE, but mainly with INFONAVIT.
 In terms of the third question, the exposure for customers that base their income on remittances, at this time, the customers without a formal job is very, very small. We believe that this segment will grow in the future and we have been working with some sofoles and banks to offer products to this segment. But, at this time, it's a very small portion of our sales.",206,Yes
"Thanks, Dan. The increase in our middle-income segment was driven by new developments. Now we have around 18 different developments all over Mexico, and we have now our highest-price home is priced at MXN2.3 million. We increased the range for middle income.
 And one of the reasons of this growth has been that now we are finishing the process of having two separate structures, one for affordable and one for middle income. And that's speeding up the growth on middle income. And we believe that we have a lot of upside on this segment, because of our small participation at this time.
 And, as we mentioned, the sofoles and the commercial banks are offering more products -- more mortgages that can increase our participation in this segment. Talking about the geographic expansion, we have projects in the state of Mexico, in Guadalajara, in other medium cities like Leon, Veracruz, that have had a very good response in the last month.",160,Yes
"Thank you. We believe that with this subsidy program, the main impact will be on the segment of customers earning less than 3 minimum wages, mainly from 2.5 to 3 minimum wages, that now they will be able to access homes, economic housing, at its price of MXN180,000. That will speed up our sales, but at this time we don't have any specific number on the impact on economic housing.
 As you may know, Homex is a leading homebuilder in economic housing. We have received some awards in 2006, and we expect to receive more in 2007 as the best economic housing development in some states throughout Mexico. Our geographical presence and our size has given us this opportunity to offer the best economic housing product in many states of Mexico.",131,Yes
"Yes, I think it's just across the board. I think it's just you had -- there really was a pretty wide spread for a while between kind of the larger deals and the smaller deals. And I think that's probably just tightening a little bit. And it's not to say we aren't finding interesting opportunities out there. It's a kind of general comment that you are seeing some of the smaller sellers probably just get kind of better information about the larger deals, more things are being brokered for sure. And so of course, brokers have an impact on that kind of expectation.
 So it's not that they're lesser quality assets where the pricing expectations are higher. It's just that I think some of the smaller sellers have become smarter about where the larger deals are trading in the market.",140,No
"Yes, sure. So those are acquisitions we still have in our pipeline. And so those would require just a very modest amount of our kind of dry powder. So we're still working on those and we still think those meet our very high standards. And so anything we're looking at kind of beyond that -- those in contract acquisitions really have to have pretty good returns in order for us to find them interesting right now.
 But the $130 million is still in our pipeline and we're still working on closing those, which we expect to kind of close later this quarter.",102,No
"You mean Rental or Construction? You're talking about the Rental business unit? Okay. I'll speak about both. Construction, regarding utilization rate, it varies very little. Even during the most critical moment of the pandemic, in Q2, we maintained the Rental volume of the Construction business unit, practically unchanged. The variation is marginal. Also because infrastructure works and construction, overall, were considered essential services. With the exception of some private construction of the private industry. And in that case, the industrial plants decided that it would be best to suspend the construction in the works.
 Our outlook for the fourth quarter is positive. We have seen an ongoing improvement, gradual improvement after Q2. More specifically, May was the worst moment. It was the most critical moment of the coronavirus pandemic for our company. But since then, things have been improving. December, more specifically, is a month when seasonally, we have some impact of some collective vacations and projects that are put on hold.
 But overall, the fourth quarter expectations are positive.",170,No
"Our visibility regarding the Construction business, and it really depends on the infrastructure pipeline of projects. There are still some hurdles for these projects to be released, but we continue to be optimistic and bullish regarding 2021. Our goal is to improve the pricing in this business unit. We want to increase rented volume. And I believe that we are going to have good opportunities coming up, given the perspective of future investments in infrastructure in Brazil.",77,Yes
"The answer is yes. We have been increasing our prices, improving our prices. Already in the third quarter, very little price adjustment. But now in the fourth quarter, we will resume our policy to rebalance prices. Of course, in the critical moment of the crisis, we had to hold any price increases because we had a reduction in volume. But now it makes sense for us to resume our policy to improve our prices due to the rental rate and improving our margins. The products in the highest demand are the ones that are having faster price increases. But undoubtedly, along 2021, it is part of our plans to improve -- rebuild our prices actually and to rebalance the rental rate so that we can have an adequate return on invested capital.",132,Yes
"Sure. I mean as you know, we have been working on a turnaround plan there. And we have made some great strides in getting our cost structure back in control, looking at our contracts and renegotiating pricing so that we don't lose money on them, and that's all gone quite well. Recently, some of the large customers like McLaren, Ferrari and others, they are facing significant slow sales because China used to be one of their big markets. So because the business has now become challenging again, despite the lower cost structure, our goal remains we'll serve our customers appropriately. And at the same time, we want the profitability to stabilize and improve and continuously focus on that for now, given where we are with the overall dynamics of the market.",131,Yes
"I think we -- one thing we are confident of is controlling our internal execution and delivering on all our commitments. The range simply reflects our uncertainty on the external macro, whether kind of the macro improves in the second half or deteriorates in the second half. I think that's probably the biggest uncertainty here, Sarkis.",56,No
"Well, it should not be recurring. There were 2 separate incidents. Back in 2016, we had a customer that had faced bankruptcy. That's way before our time, and we got caught up in it. I'm thankful that issue's behind us. But I guess, recently, we had an adverse ruling on some of the payments we received from the customer post bankruptcy. We were caught off guard, and about half of the reserve is simply for that. We don't think it's fair, and we are clearly going to appeal, but we are required to book that reserve based on the 2016 bankruptcy and the ongoing legal challenges on that. Second one is product liability related to an incident back in 2018, which, again, got to a stage where, like we thought it was prudent to book a reserve. Again, our product was not at fault. We are confident that we are doing all the right things. But at the same time, prudent to book, there is no given potential opportunity to settle and avoid legal costs. But no, we don't think those should be recurring, Phil. And why? We don't exclude it from our numbers either for that reason.",198,Yes
"Yes, you're right. The primary driver, especially in area of the improvement, is around inventory. Certainly, last year, with facility moves and some of the market volatility and softness inventories, where we saw some deterioration from the prior year performance, and it's where we've really focused our improvement efforts going into 2020.",52,Yes
"Sure. So I mean we ended the year at between $8 million to $10 million in SoluMag, which is consistent with what we were expecting when we gave Q3 update. Currently, we are expecting that number to remain flat. We're not making any growth, and I think that's a prudent assumption. We are confident that there's no further downside, and we are confident that the destocking is complete.",68,Yes
"Well, let me start on the first one, then I'll turn it to Ray. And then Ray, you can give it back to me on the recession question. But gross margins, honestly, mostly, mix. I mean for sure, there is a component that I don't think affected the first quarter very much where the greatest demand -- and listen, we are prioritizing our products along with what our customers and consumers and society as a whole need. And that means that right now, we have been -- we're more than 50% of the U.S. supply of acetaminophen and that's a lower gross margin item, and we're running that, although I don't think that had a big deal impact on the first quarter. I think gross margins, in general, are mixed, but I'm pleased with our margins when you take it down to the operating margin line. You've got a lot of moving factors. Then Ray, can you go into that in a little bit more detail?",166,Yes
"Sure. So on -- I think you basically described it to a certain extent, David. But the -- we are seeing increase in some of our costs. As Murray described, we've got absenteeism in the plants that we still pay people for the most part even when they're absent under COVID-19. So we do see some higher costs there. We are getting operational leverage on all 3 businesses, it's quite significant, but that's because of the increased sales certainly in the first quarter. We're seeing momentum savings continuing. And we are paying -- we paid the special bonus we talked about, which obviously resulted in higher overall compensation costs.
 But we -- I think that on balance, if you look at operating income, as I -- operating margin and operating income, as I mentioned earlier in the call, if you look through to that, our operating expenses are down slightly. We would expect that trend to continue. And we're also expecting probably less advertising and promotional cost for the time being, plus, as you mentioned, less travel or less of those other expenses. And we are seeing just a small down in the Q1 on the -- on our operating margin, but a big increase, obviously, in our operating income.",210,No
"I just -- I'll leave you saying one more time, I keep hammering it over and over again. This is something like I've never seen. The Perrigo business is strong. The team is incredible. They're confident, they're -- my leadership team is very seasoned. They handle everything in a calm and deliberate manner, and they've been able to handle crisis, and I'm confident that while there could be some shorter-term bump, I think the outlook for Perrigo is very strong. I never anticipated this coming into the company, but I think price value, store brand product will play a bigger role going forward. I think that self-care will play a bigger role in a new normal world where consumers are a little bit more reluctant to run to the emergency room or hospitals. And I certainly think e-commerce will be a bigger role, and we're strong in each of those.
 We'll get through this. We'll have some uncertainty, and I know that's hard for everybody who's trying to cover the stocks. But I think if you sort of look where Perrigo stands today versus most companies in the world, I think we're performing pretty darn well. And I -- so I'll just end it one more time, thanking all the employees who I know it's nervous to come into the facilities, but you're doing good for society, and you should be very proud, and we're very proud of you. Thank you for your interest in Perrigo.",246,Yes
"Sure. Murray is right. You've really got to look at operating margin, especially with respect to the fact that we saw increases in our store brand business, where our gross margins are lower, but our operating margins are similar. And we saw that in the CSCA specifically, which you referenced, our margin this year at around -- operating margin around 19.6%, contrasts positively by about 130 basis points versus what we've got in 2019 first quarter. So we're seeing -- we are seeing some improvement in our operating margin. And the impact of the dislocations that happened really didn't have a big impact on Q1 because they happened late in March or in the middle of March, early to middle-March, and we didn't see all that much impact coming through from that. We did see some, as I say, some impacts at the end of the month but then we saw operating leverage from the sharp increase in sales that came in March.",163,Yes
"And then going back to the recession question. I mean you're right, Chris. You know what, we'll see how it plays out, but our product category -- and I already think we're seeing some share shifting now, but the fact is our products are of equal application, and they're 30% to 40% cheaper than the national brand. And the other benefit you'd get in a surge is that a lot of times the national brands are not on shelf. So besides the longer-term benefit that you get of the price issue, you also get people trying. You get a much higher level of trial right now. There's a lot more people that have tried a store brand who are buying both or who were normally national brand-only consumers that are trying and buying our products and seeing for themselves that they work just as well.
 So listen, going into an extended risk recession period, private label always performs well. And history, I mean, there's no guarantees, but history says we'd benefit from that. And we think that we're well positioned with our self-care focus, our value and also the e-commerce.
 But yes, I mean, it's a great point. These are uncertain times, and I think the company is in a real good position right now to help society, but also benefit from it.",223,Yes
"Thank you very much. Talk to you again on Friday. So key conclusion is, it was a very challenging year, and we managed to stabilize the company. And even in those challenging circumstances we haven't pushed the break on the activities that the company needs to take to deliver long-lasting, sustainable profitability and -- because we are confident about this is the right thing to do. This is the message and talk to you on Friday.",76,No
"I think somehow -- let's see, how can I phrase it, you have the building blocks. I mean we have been communicating that Delta4000 delivers 3% to 5% better margin. We have been communicating, and we will communicate as well in Q3 call, the share of the order intake that is coming from Delta4000. So this is going to signal you or is signaling us where the profitability in 2021 might land because it's a question of percentage of Delta4000 and improvement of the margin of Delta4000 versus the legacy products.
 And then on top of that, in 2021, as we speak, but especially in 2021, we execute supply chain expansion with substantial margin improvement, and that's what is supporting 2022. So 2022 is effect of keeping the quality of the order intake that we'll start to see in the execution in 2021 and adding the better product costs that we will get out of India.",156,Yes
"I think we don't have -- I mean, we have a high-level view, but we don't have concluded nor approved the 2021 budget. So the decision that we took as a Management Board is to stick to the financial calendar of the company, but start signaling you what we are doing in order to achieve the midterm profitability that this company is going to deliver.",65,No
"I think this year, the CapEx, if I'm not mistaken, around EUR 170 million, we will talk more specific in the Q3 call. Next year, we will guide the year in due time early next year. We don't see a major as of today. I mean, with all the footnotes, we didn't see any major deviation. I think this is very much the CapEx that is in the planning for the supply chain expansion in India, plus the transportation and logistics and installation tools for creating above 6-gigawatt capacity in Delta4000 product, including the engineering activities to support this platform.",100,Yes
